"CountryCode","SeriesCode","DESCRIPTION",
"SRB","IT.CEL.SETS.P2","Ratel, Republic Telecommunication Agency.",
"SRB","IT.MLT.MAIN.P2","Ratel, Republic Telecommunication Agency.",
"SRB","SP.ADO.TFRT","Including Kosovo.",
"SRB","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"SRB","SP.DYN.TFRT.IN","Data sources : Eurostat, Council of Europe, INED",
"SRB","SP.POP.TOTL","Data sources : Statistical Office of the Republic of Serbia, Eurostat, TransMONEE, Council of Europe. Note : Excluding Kosovo.",
"SSD","PA.NUS.PPP","Estimates are based on regression.",
"SSD","PA.NUS.PRVT.PP","Estimates are based on regression.",
"SSD","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"SSD","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"SSD","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"STP","IT.CEL.SETS.P2","Companhia Santomense de Telecomuniçaôes s.a.r.l. (CST). Autoridade Geral de Regulação",
"STP","IT.MLT.MAIN.P2","Companhia Santomense de Telecomuniçaôes s.a.r.l. (CST). Autoridade Geral de Regulação",
"STP","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"STP","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"STP","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SUR","IT.CEL.SETS.P2","Telecommunicatiebedrijf Suriname (TELESUR). Telecommunications Authority Suriname (TAS).",
"SUR","IT.MLT.MAIN.P2","Telecommunicatiebedrijf Suriname (TELESUR). Telecommunications Authority Suriname (TAS).",
"SUR","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"SUR","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"SUR","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SVK","IT.CEL.SETS.P2","Ministry of Transport, Posts and Telecommunications.",
"SVK","IT.MLT.MAIN.P2","Ministry of Transport, Posts and Telecommunications.",
"SVK","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"SVK","SP.DYN.TFRT.IN","Data sources : Eurostat",
"SVK","SP.POP.TOTL","Data sources : Eurostat",
"SVN","IT.CEL.SETS.P2","Telekom Slovenije. 1998: Mobitel. 1999 - 2001: Ministry of Transport and Communications. 2001: Telecommunications Administration. 2002 - 2003: Telecommunications, Broadcasting and Post Agency. 2004 - 2005:  Communication Agency of the Republic of Slovenia (APEK). From 2006: Post and Electronic Communications Agency of the Republic of Slovenia.",
"SVN","IT.MLT.MAIN.P2","Telekom Slovenije. 1998: Mobitel. 1999 - 2001: Ministry of Transport and Communications. 2001: Telecommunications Administration. 2002 - 2003: Telecommunications, Broadcasting and Post Agency. 2004 - 2005:  Communication Agency of the Republic of Slovenia (APEK). From 2006: Post and Electronic Communications Agency of the Republic of Slovenia.",
"SVN","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"SVN","SP.DYN.TFRT.IN","Data sources : Eurostat, United Nations World Population Prospects",
"SVN","SP.POP.TOTL","Data sources : Eurostat",
"SWE","IT.CEL.SETS.P2","Telia, Netcom, Europolitan. Swedish Institute for Transport and Communications Analysis. From 2008: Swedish Post and Telecom Agency.",
"SWE","IT.MLT.MAIN.P2","Telia, Netcom, Europolitan. Swedish Institute for Transport and Communications Analysis. From 2008: Swedish Post and Telecom Agency.",
"SWE","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"SWE","SP.DYN.TFRT.IN","Data sources : Eurostat, Statistics Sweden",
"SWE","SP.POP.TOTL","Data sources : Eurostat",
"SWZ","IT.CEL.SETS.P2","Eswatini Posts and Telecommunications Corporation (STPC).",
"SWZ","IT.MLT.MAIN.P2","Eswatini Posts and Telecommunications Corporation (STPC).",
"SWZ","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"SWZ","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"SWZ","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SXM","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"SXM","SP.DYN.TFRT.IN","Data sources : Department of Statistics, St. Maarten; Central bureau of Statistics Netherlands Antilles",
"SXM","SP.POP.TOTL","Data sources : Department of Statistics, St. Maarten; US census bureau",
"SYC","IT.CEL.SETS.P2","Cable and Wireless (Seychelles) Ltd.; From 2000: Ministry of Information Technology and Communication.  Ministry of National Development.",
"SYC","IT.MLT.MAIN.P2","Cable and Wireless (Seychelles) Ltd.; From 2000: Ministry of Information Technology and Communication.  Ministry of National Development.",
"SYC","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"SYC","SP.DYN.TFRT.IN","Data sources : National Bureau of Statistics",
"SYC","SP.POP.TOTL","Data sources : National Bureau of Statistics",
"SYR","IT.CEL.SETS.P2","Syrian Telecommunications Establishment (STE).",
"SYR","IT.MLT.MAIN.P2","Syrian Telecommunications Establishment (STE).",
"SYR","PA.NUS.PPP","Estimates are based on regression.",
"SYR","PA.NUS.PRVT.PP","Estimates are based on regression.",
"SYR","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"SYR","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"SYR","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TCA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TCD","IT.CEL.SETS.P2","Until 2003: SOTEL. Office Tchadien de Régulation des Télécommunications.",
"TCD","IT.MLT.MAIN.P2","Until 2003: SOTEL. Office Tchadien de Régulation des Télécommunications.",
"TCD","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"TCD","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"TCD","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TGO","IT.CEL.SETS.P2","Societe des Télécommunications du Togo (TOGO TELECOM). From 2004: Autorité de Règlementation des secteurs de postes  (ART&P).",
"TGO","IT.MLT.MAIN.P2","Societe des Télécommunications du Togo (TOGO TELECOM). From 2004: Autorité de Règlementation des secteurs de postes  (ART&P).",
"TGO","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"TGO","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"TGO","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"THA","IT.CEL.SETS.P2","Post and Telegraph Department (PTD). From 2002: Ministry of Information and Communication Authority (MICT).",
"THA","IT.MLT.MAIN.P2","Post and Telegraph Department (PTD). From 2002: Ministry of Information and Communication Authority (MICT).",
"THA","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"THA","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"THA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TJK","IT.CEL.SETS.P2","Ministry of Communications. From 2003: Tajiktelecom.",
"TJK","IT.MLT.MAIN.P2","Ministry of Communications. From 2003: Tajiktelecom.",
"TJK","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"TJK","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"TJK","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TKM","IT.CEL.SETS.P2","Ministry of Communications.",
"TKM","IT.MLT.MAIN.P2","Ministry of Communications.",
"TKM","PA.NUS.PPP","Estimates are based on regression.",
"TKM","PA.NUS.PRVT.PP","Estimates are based on regression.",
"TKM","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"TKM","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"TKM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TLS","PA.NUS.PPP","Estimates are based on regression.",
"TLS","PA.NUS.PRVT.PP","Estimates are based on regression.",
"TLS","SG.GEN.PARL.ZS","The purpose of elections held on 30 August 2001 was to elect members of the Constituent Assembly of Timor-Leste. This body became the National Parliament on 20 May 2002, the date on which the country became independent, without any new elections",
"TLS","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"TLS","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"TLS","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TON","IT.CEL.SETS.P2","Until 2000: Tonga Telecommunications Commission (TTC). Tonga Communications Corporation Ltd.",
"TON","IT.MLT.MAIN.P2","Until 2000: Tonga Telecommunications Commission (TTC). Tonga Communications Corporation Ltd.",
"TON","SG.GEN.PARL.ZS","No women were elected in 2008, however one woman was appointed to the Cabinet. As cabinet ministers also sit in parliament, there is one woman out of a total of 32 members.",
"TON","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"TON","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"TON","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TTO","IT.CEL.SETS.P2","Telecommunications Services of Trinidad and Tobago (TSTT). From 2004: Ministry of Public Administration and Information.",
"TTO","IT.MLT.MAIN.P2","Telecommunications Services of Trinidad and Tobago (TSTT). From 2004: Ministry of Public Administration and Information.",
"TTO","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"TTO","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"TTO","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TUN","IT.CEL.SETS.P2","Tunisie Telecom. Since 1997: Ministère des Technologies de la Communication.",
"TUN","IT.MLT.MAIN.P2","Tunisie Telecom. Since 1997: Ministère des Technologies de la Communication.",
"TUN","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"TUN","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"TUN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TUR","IT.CEL.SETS.P2","Türk Telekomünikasyon A.S. From 2002: Telecommunications Authority.",
"TUR","IT.MLT.MAIN.P2","Türk Telekomünikasyon A.S. From 2002: Telecommunications Authority.",
"TUR","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"TUR","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"TUR","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TUV","IT.CEL.SETS.P2","Tuvalu Telecommunications Corporation. Ministry of Communication and Transports",
"TUV","IT.MLT.MAIN.P2","Tuvalu Telecommunications Corporation. Ministry of Communication and Transports",
"TUV","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TZA","IT.CEL.SETS.P2","Tanzania Telecommunications Company Ltd (TTCL). From 2006: Tanzania Communications Regulatory Authority.",
"TZA","IT.MLT.MAIN.P2","Tanzania Telecommunications Company Ltd (TTCL). From 2006: Tanzania Communications Regulatory Authority.",
"TZA","NY.GNP.PCAP.CD","Covers mainland Tanzania only.",
"TZA","SP.ADO.TFRT","Including Zanzibar.",
"TZA","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"TZA","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"TZA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"UGA","IT.CEL.SETS.P2","Uganda Telecommunication Ltd. (UTL). From 1998: Uganda Communications Commission (UCC).",
"UGA","IT.MLT.MAIN.P2","Uganda Telecommunication Ltd. (UTL). From 1998: Uganda Communications Commission (UCC).",
"UGA","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"UGA","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"UGA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"UKR","IT.CEL.SETS.P2","State Department of Communications & Information Technology.",
"UKR","IT.MLT.MAIN.P2","State Department of Communications & Information Technology.",
"UKR","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"UKR","SP.DYN.TFRT.IN","Data sources : State Statistics Committee of Ukraine",
"UKR","SP.POP.TOTL","Data sources : State Statistics Committee of Ukraine, United Nations World Population Prospects, Council of Europe, United Nations Population and Vital Statistics Report",
"URY","IT.CEL.SETS.P2","Until 2003: Administración Nacional de Telecomunicaciones (ANTEL). Unidad Reguladora de Servicios de Comunicaciones.",
"URY","IT.MLT.MAIN.P2","Until 2003: Administración Nacional de Telecomunicaciones (ANTEL). Unidad Reguladora de Servicios de Comunicaciones.",
"URY","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"URY","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"URY","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"USA","IT.CEL.SETS.P2","Federal Communications Commission (FCC).",
"USA","IT.MLT.MAIN.P2","Federal Communications Commission (FCC).",
"USA","SG.GEN.PARL.ZS","The total refers to all voting members of the House.",
"USA","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"USA","SP.DYN.TFRT.IN","Data sources : National Center for Health Statistics",
"USA","SP.POP.TOTL","Data sources : U.S. Census Bureau",
"UZB","IT.CEL.SETS.P2","Communication and Information Agency of Uzbekistan.",
"UZB","IT.MLT.MAIN.P2","Communication and Information Agency of Uzbekistan.",
"UZB","PA.NUS.PPP","Estimates are based on regression.",
"UZB","PA.NUS.PRVT.PP","Estimates are based on regression.",
"UZB","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"UZB","SP.DYN.TFRT.IN","Data sources : State Committee of the Republic of Uzbekistan on Statistics, TransMONEE, United Nations World Population Prospects",
"UZB","SP.POP.TOTL","Data sources : State Committee of the Republic of Uzbekistan on Statistics, United Nations World Population Prospects",
"VCT","IT.CEL.SETS.P2","Cable & Wireless (West Indies) Ltd. (C&W). National Telecommunications Regulatory Comission.",
"VCT","IT.MLT.MAIN.P2","Cable & Wireless (West Indies) Ltd. (C&W). National Telecommunications Regulatory Comission.",
"VCT","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"VCT","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"VCT","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"VEN","IT.CEL.SETS.P2","Comisión Nacional de Telecomunicaciones (CONATEL).",
"VEN","IT.MLT.MAIN.P2","Comisión Nacional de Telecomunicaciones (CONATEL).",
"VEN","NY.GNP.PCAP.CD","Based on official exchange rates.",
"VEN","SG.GEN.PARL.ZS","On 25 August 1999, the Constituent Assembly elected on 25 July adopted a dercree putting the bicameral Congress on indefinite recess",
"VEN","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"VEN","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"VEN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"VGB","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"VIR","IT.CEL.SETS.P2","Virgin Islands Telephone Corporation (Vitelco).",
"VIR","IT.MLT.MAIN.P2","Virgin Islands Telephone Corporation (Vitelco).",
"VIR","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"VIR","SP.DYN.TFRT.IN","Data sources : U.S. Census Bureau, United Nations World Population Prospects",
"VIR","SP.POP.TOTL","Data sources : U.S. Census Bureau, United Nations Population and Vital Statistics Report",
"VNM","IT.CEL.SETS.P2","Vietnam Post & Telecommunications Corp. (VNPT). From 2004. Ministry of Posts and Telematics (MPT).",
"VNM","IT.MLT.MAIN.P2","Vietnam Post & Telecommunications Corp. (VNPT). From 2004. Ministry of Posts and Telematics (MPT).",
"VNM","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"VNM","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"VNM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"VUT","IT.CEL.SETS.P2","Telecom Vanuatu Limited. Office of the Vanuatu Telecom Regulator.",
"VUT","IT.MLT.MAIN.P2","Telecom Vanuatu Limited. Office of the Vanuatu Telecom Regulator.",
"VUT","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"VUT","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"VUT","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"WSM","IT.CEL.SETS.P2","Samoa Communications Ltd.. Ministry of Communications and Information Technology.",
"WSM","IT.MLT.MAIN.P2","Samoa Communications Ltd.. Ministry of Communications and Information Technology.",
"WSM","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"WSM","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"WSM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"XKX","PA.NUS.PPP","Estimates are based on regression.",
"XKX","PA.NUS.PRVT.PP","Estimates are based on regression.",
"XKX","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"XKX","SP.DYN.TFRT.IN","Data sources : U.S. Census Bureau",
"XKX","SP.POP.TOTL","Data sources : World Bank's Kosovo coutnry office, Kosovo Agency of Statistics, U.S. Census Bureau",
"YEM","IT.CEL.SETS.P2","Yemen International Telecommunications Company. From 2000-2002: Ministry of Communications. From 2003: Ministry of Telecommunications and Information Technology.",
"YEM","IT.MLT.MAIN.P2","Yemen International Telecommunications Company. From 2000-2002: Ministry of Communications. From 2003: Ministry of Telecommunications and Information Technology.",
"YEM","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"YEM","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"YEM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ZAF","IT.CEL.SETS.P2","Telkom SA Limited (Telkom). From 2001: Independent Communications Authority of South Africa (ICASA).",
"ZAF","IT.MLT.MAIN.P2","Telkom SA Limited (Telkom). From 2001: Independent Communications Authority of South Africa (ICASA).",
"ZAF","SG.GEN.PARL.ZS","The figures for 1999-2017 on the distribution of seats do not include the 36 special rotating delegates appointed on an ad hoc basis, and all percentages given are therefore calculated on the basis of the 54 permanent seats.",
"ZAF","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"ZAF","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"ZAF","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ZMB","IT.CEL.SETS.P2","Zambia Telecommunications Company Limited (Zamtel). From 2002: Communications Authority.",
"ZMB","IT.MLT.MAIN.P2","Zambia Telecommunications Company Limited (Zamtel). From 2002: Communications Authority.",
"ZMB","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"ZMB","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"ZMB","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ZWE","IT.CEL.SETS.P2","TelOne. From 2002: Post and Telecommunications Regulatory Authority (POTRAZ).",
"ZWE","IT.MLT.MAIN.P2","TelOne. From 2002: Post and Telecommunications Regulatory Authority (POTRAZ).",
"ZWE","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"ZWE","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"ZWE","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
